Job Title,Company Name,Location,Category,Seniority Level,Employment Type,Job Description,Extracted Skills,Extracted Experience (Years),Extracted Education,Extracted Duties
Graphic Designer,BlueSky HR,"Austin, TX",Designer (Graphic/UI/UX),Entry-level,Contract,"As a Graphic Designer, you will be expected to handle responsibilities including ux, ui, designer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in prototype, figma, ux, adobe. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in figma or equivalent hands-on experience.","prototype, ux, figma, adobe, designer, ui",2,Bachelor in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including ux, ui, designer, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,LegalBridge LLP,Remote,Designer (Graphic/UI/UX),Entry-level,Contract,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, ui, adobe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Designer or related field is required.. Candidates must have strong skills in figma, prototype, adobe, ui. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in figma or equivalent hands-on experience.","prototype, ux, figma, adobe, designer, ui",5,Diploma in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, ui, adobe, collaborating with cross-functional teams, and supporting strategic goals"
Pastry Chef,SalesSphere Ltd.,Hybrid,Chef,Mid,Contract,"As a Pastry Chef, you will be expected to handle responsibilities including chef, cooking, kitchen, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Chef or related field is required.. Candidates must have strong skills in culinary, recipe, chef, menu. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in recipe or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",5,Diploma in Chef Or Related Field,"As a Pastry Chef, you will be expected to handle responsibilities including chef, cooking, kitchen, collaborating with cross-functional teams, and supporting strategic goals"
Lead Generation Specialist,LegalBridge LLP,Remote,Sales,Entry-level,Part-time,"As a Lead Generation Specialist, you will be expected to handle responsibilities including quota, sales, lead, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Sales or related field is required.. Candidates must have strong skills in quota, pipeline, sales, closing. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in closing or equivalent hands-on experience.","sales, lead, closing, pipeline, ui, quota",4,High school in Sales Or Related Field,"As a Lead Generation Specialist, you will be expected to handle responsibilities including quota, sales, lead, collaborating with cross-functional teams, and supporting strategic goals"
Curriculum Developer,FitCore Gym,"Los Angeles, CA",Teacher,Entry-level,Part-time,"As a Curriculum Developer, you will be expected to handle responsibilities including teaching, lesson, students, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Teacher or related field is required.. Candidates must have strong skills in education, teaching, curriculum, classroom. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, curriculum, developer, ui, education, students, teaching",2,Master in Teacher Or Related Field,"As a Curriculum Developer, you will be expected to handle responsibilities including teaching, lesson, students, collaborating with cross-functional teams, and supporting strategic goals"
Executive Chef,FitCore Gym,Hybrid,Chef,Mid,Contract,"As a Executive Chef, you will be expected to handle responsibilities including cooking, kitchen, chef, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Chef or related field is required.. Candidates must have strong skills in menu, kitchen, chef, culinary. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, culinary, ui, kitchen, cooking",2,Associate in Chef Or Related Field,"As a Executive Chef, you will be expected to handle responsibilities including cooking, kitchen, chef, collaborating with cross-functional teams, and supporting strategic goals"
Agronomist,LegalBridge LLP,Hybrid,Agriculture Professional,Senior,Temporary,"As a Agronomist, you will be expected to handle responsibilities including irrigation, crop, soil, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Agriculture or related field is required.. Candidates must have strong skills in soil, agriculture, farming, crop. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in irrigation or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",3,Associate in Agriculture Or Related Field,"As a Agronomist, you will be expected to handle responsibilities including irrigation, crop, soil, collaborating with cross-functional teams, and supporting strategic goals"
Business Development Manager,WellCare Health,"Austin, TX",Business Development,Senior,Part-time,"As a Business Development Manager, you will be expected to handle responsibilities including growth, leads, business, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Business or related field is required.. Candidates must have strong skills in leads, sales, crm, business. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in growth or equivalent hands-on experience.","sales, business, lead, crm, growth, ui, leads",6,Master in Business Or Related Field,"As a Business Development Manager, you will be expected to handle responsibilities including growth, leads, business, collaborating with cross-functional teams, and supporting strategic goals"
Curriculum Developer,AgroGrow Co.,Hybrid,Teacher,Mid,Contract,"Bachelor’s degree in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in curriculum, teaching, classroom, students. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, curriculum, developer, ui, education, students, teaching",3,Bachelor in Teacher Or Related Field,Bachelor’s degree in Teacher or related field is required
Graphic Designer,PixelCraft Studios,"Los Angeles, CA",Designer (Graphic/UI/UX),Mid,Temporary,"As a Graphic Designer, you will be expected to handle responsibilities including ui, wireframe, designer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Designer or related field is required.. Candidates must have strong skills in ui, ux, wireframe, adobe. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in wireframe or equivalent hands-on experience.","ux, wireframe, adobe, designer, ui",4,Phd in A Relevant Field In Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including ui, wireframe, designer, collaborating with cross-functional teams, and supporting strategic goals"
